# stations et liens du métro parisien
# format : V num sommet lat long num_ligne nom_sommet
#          E num_sommet1 num_sommet1 temps_en_secondes
E 0031 0041 028
E 0031 0144 036
E 0032 0343 054
E 0032 0303 041
E 0033 0344 052
E 0033 0304 041
E 0034 0248 036
E 0034 0041 057
E 0035 0111 034
E 0035 0172 040
E 0036 0198 105
E 0036 0037 039
E 0038 0336 035
E 0038 0289 038
E 0039 0153 038
E 0039 0267 046
E 0040 0297 037
E 0042 0190 042
E 0042 0215 035
E 0043 0066 041
E 0043 0328 057
E 0044 0162 054
E 0044 0250 064
E 0045 0348 043
E 0045 0155 035
E 0046 0242 063
E 0046 0329 046
E 0047 0148 046
E 0047 0195 041
E 0048 0182 066
E 0048 0318 060
E 0049 0164 042
E 0049 0241 040
E 0050 0077 054
E 0050 0109 062
E 0051 0137 062
E 0051 0202 069
E 0052 0201 020
E 0053 0372 047
E 0053 0167 033
E 0054 0145 051
E 0055 0127 060
E 0056 0351 059
E 0056 0362 075
E 0057 0150 035
E 0058 0307 031
E 0058 0369 031
E 0059 0224 072
E 0059 0162 053
E 0060 0299 063
E 0060 0133 045
E 0061 0335 028
E 0062 0287 053
E 0062 0216 048
E 0063 0123 044
E 0063 0169 057
E 0064 0192 057
E 0065 0342 041
E 0065 0121 057
E 0067 0135 087
E 0067 0173 051
E 0068 0136 085
E 0069 0120 287
E 0069 0281 131
E 0070 0073 045
E 0070 0165 066
E 0071 0254 073
E 0071 0255 037
E 0072 0188 052
E 0073 0330 046
E 0074 0195 044
E 0074 0221 052
E 0075 0142 093
E 0076 0156 059
E 0076 0111 030
E 0077 0356 057
E 0078 0175 041
E 0079 0177 041
E 0079 0138 071
E 0080 0274 041
E 0080 0360 049
E 0081 0178 043
E 0081 0274 043
E 0082 0087 032
E 0082 0277 047
E 0083 0243 036
E 0083 0128 049
E 0085 0204 047
E 0085 0351 046
E 0086 0211 037
E 0087 0300 043
E 0088 0181 044
E 0088 0301 047
E 0089 0090 029
E 0090 0091 026
E 0091 0185 027
E 0092 0034 037
E 0093 0097 045
E 0094 0200 027
E 0094 0205 039
E 0095 0210 048
E 0095 0292 037
E 0096 0324 052
E 0096 0293 042
E 0098 0155 069
E 0099 0358 031
E 0099 0349 054
E 0100 0207 113
E 0100 0321 059
E 0101 0293 043
E 0101 0209 036
E 0102 0252 035
E 0102 0130 037
E 0103 0327 044
E 0103 0367 030
E 0104 0199 062
E 0104 0271 040
E 0105 0296 042
E 0105 0163 047
E 0106 0231 029
E 0106 0206 036
E 0107 0335 049
E 0107 0314 049
E 0108 0152 029
E 0109 0127 059
E 0110 0332 037
E 0112 0180 071
E 0113 0234 036
E 0113 0207 047
E 0114 0263 072
E 0115 0263 039
E 0115 0285 070
E 0116 0233 050
E 0117 0148 059
E 0118 0329 060
E 0118 0288 030
E 0119 0295 041
E 0121 0124 067
E 0122 0140 103
E 0122 0125 059
E 0123 0250 051
E 0125 0340 107
E 0126 0272 037
E 0126 0182 042
E 0128 0324 042
E 0129 0311 049
E 0131 0153 072
E 0131 0272 063
E 0132 0223 068
E 0132 0327 040
E 0133 0317 049
E 0134 0270 047
E 0134 0374 053
E 0135 0331 065
E 0136 0290 073
E 0137 0359 054
E 0138 0158 057
E 0139 0355 046
E 0140 0313 047
E 0141 0291 037
E 0141 0197 049
E 0142 0339 027
E 0143 0340 029
E 0143 0160 044
E 0144 0170 046
E 0145 0373 055
E 0146 0283 033
E 0146 0247 050
E 0147 0159 044
E 0147 0191 049
E 0149 0241 057
E 0149 0345 079
